game_id,game_date,home_team_id,away_team_id,home_team,away_team,home_score,away_score
2025020295,,55,28,SEA,SJS,4,1
2025020296,,5,18,PIT,NSH,4,0
2025020297,,14,23,TBL,VAN,2,6
2025020298,,30,54,MIN,VGK,3,2
2025020299,,3,17,NYR,DET,1,2
2025020300,,21,2,COL,NYI,4,1
2025020301,,6,12,BOS,CAR,1,3
2025020302,,7,22,BUF,EDM,5,1
2025020303,,13,23,FLA,VAN,8,5
2025020304,,15,26,WSH,LAK,2,1
2025020305,,29,8,CBJ,MTL,4,3
2025020306,,24,68,ANA,UTA,3,2
2025020307,,10,19,TOR,STL,3,2
2025020308,,17,55,DET,SEA,4,2
2025020309,,14,1,TBL,NJD,5,1
2025020310,,25,2,DAL,NYI,2,3
2025020311,,52,29,WPG,CBJ,5,2
2025020312,,16,20,CHI,CGY,5,2
2025020313,,54,3,VGK,NYR,3,2
2025020314,,28,68,SJS,UTA,3,2
2025020315,,15,22,WSH,EDM,7,4
2025020316,,7,20,BUF,CGY,2,6
2025020317,,30,12,MIN,CAR,4,3
2025020318,,24,6,ANA,BOS,4,3
2025020319,,10,29,TOR,CBJ,2,3
2025020320,,8,15,MTL,WSH,4,8
2025020321,,17,2,DET,NYI,0,5
2025020322,,14,22,TBL,EDM,2,1
2025020323,,13,1,FLA,NJD,1,0
2025020324,,4,19,PHI,STL,3,2
2025020325,,16,55,CHI,SEA,2,3
2025020326,,21,3,COL,NYR,6,3
2025020327,,68,54,UTA,VGK,1,4
2025020328,,23,25,VAN,DAL,2,4
2025020329,,24,9,ANA,OTT,2,3
2025020330,,28,26,SJS,LAK,4,3
2025020331,,7,16,BUF,CHI,9,3
2025020332,,5,30,PIT,MIN,0,5
2025020333,,52,12,WPG,CAR,3,4
2025020334,,26,6,LAK,BOS,1,2
2025020335,,17,29,DET,CBJ,4,3
2025020336,,2,19,NYI,STL,1,2
2025020337,,8,10,MTL,TOR,5,2
2025020338,,13,22,FLA,EDM,3,6
2025020339,,4,1,PHI,NJD,6,3
2025020340,,5,55,PIT,SEA,2,3
2025020341,,15,14,WSH,TBL,3,5
2025020342,,28,9,SJS,OTT,2,3
2025020343,,18,21,NSH,COL,0,3
2025020344,,68,3,UTA,NYR,3,2
2025020345,,20,25,CGY,DAL,3,2
2025020346,,24,54,ANA,VGK,4,3
2025020347,,7,12,BUF,CAR,4,1
2025020348,,52,30,WPG,MIN,0,3
2025020349,,2,55,NYI,SEA,1,0
2025020350,,16,21,CHI,COL,0,1
2025020351,,28,6,SJS,BOS,3,1
2025020352,,23,20,VAN,CGY,2,5
2025020353,,14,4,TBL,PHI,3,0
2025020354,,1,17,NJD,DET,4,3
2025020355,,3,19,NYR,STL,3,2
2025020356,,15,29,WSH,CBJ,5,1
2025020357,,18,13,NSH,FLA,3,8
2025020358,,68,54,UTA,VGK,5,1
2025020359,,26,9,LAK,OTT,2,1
2025020360,,22,25,EDM,DAL,3,8
2025020361,,17,18,DET,NSH,3,6
2025020362,,14,20,TBL,CGY,5,1
2025020363,,13,4,FLA,PHI,2,4
2025020364,,1,19,NJD,STL,3,2
2025020365,,2,6,NYI,BOS,1,3
2025020366,,5,7,PIT,BUF,4,2
2025020367,,15,52,WSH,WPG,4,3
2025020368,,12,3,CAR,NYR,2,4
2025020369,,29,10,CBJ,TOR,1,2
2025020370,,16,30,CHI,MIN,3,4
2025020371,,21,28,COL,SJS,6,0
2025020372,,68,8,UTA,MTL,3,4
2025020373,,54,9,VGK,OTT,3,4
2025020374,,24,23,ANA,VAN,4,5
2025020375,,55,25,SEA,DAL,2,3
